Names,Video Link,Geners
Mr.Perfect,https://youtu.be/KAcOQ5gvSC8?si=f3fxDlusCZ1wFrP-,"romantic,drama"
MAD,https://youtu.be/uPeRKmVJtsU?si=9lv638sd729jUaKB,"Comedy,love srory"
Oxygen,https://youtu.be/TrUxDx3u2OU?si=YU6EFExicbEcY3VK,"thriller,film"
Dhruva,https://youtu.be/A77rGW61mFI?si=4qdbod_63UN23Yp-," fantasy,action,comedy"
Badrinath,https://youtu.be/78yCIaykqao?si=EWJ75ohJzCRUwVwa," romantic,action"
SR Kalyanamandapam,https://youtu.be/oBhImHdsJW0?si=-3DJAf97nzgVuCWR,"romantic,action"
Venky,https://youtu.be/ZsLIVsF0jf0?si=Wr6D-a9AvxSpt6Rc,"Comedy,love"
Baahubali 2,https://youtu.be/u3Zcaeei_H8?si=RI2moOEjRq7-FtiR,thriller
Julayi,https://youtu.be/tZquI3a1qZw?si=oJDxN54zGItPwHsI,"Comedy,love"
Kill,https://youtu.be/_zv9jwCtiaY?si=7fJ9mTwxD1gg2SQv,thriller
Godavari,https://youtu.be/k_-PvLgr1c0?si=pQDItxvOBpuzP0Xm,"Love,effection"
Race Gurram,https://youtu.be/oVsA6B1cweo?si=nqZQvBHa3_Bb-5VY,"Comedy,love"
Ramabanam,https://youtu.be/1bGMLfxqTzc?si=LfBpwfpz-mOMHnGQ,Family
Kick,https://youtu.be/BPRuBeLZyBs?si=-_DimxUwh5OUTp1m,"Comedy,love"
Govindudu Andarivadele,https://youtu.be/nVsJLEIMnmE?si=pjyumzXCMNyuMH4R,Family
Nuvvostanante Nenoddantana,https://youtu.be/c_diMSAaojU?si=vcoI2m2EQ5rS7ezZ,"Love,effection"
RadeSham,https://youtu.be/Exb-FRmKdTw?si=_NjzoKPXBwYpZgbz,"Love,effection"
Sye,https://youtu.be/FAs0k7FjjX8?si=okuqJuOku4ic9zIW,"College,comedy"
Rebel,https://youtu.be/nf1OpDXnrCc?si=QgT03GIrCjdQ1ULp,"	Real-time strategy, simulation"
Tappinchukoleru,https://youtu.be/Eqp-sYTMHZ4?si=y0_fLklL6BDIRsyq,thriller
Nuvvu Leka Nenu Lenu,https://youtu.be/ozB2ULZIZ8Y?si=SFrn2-3i8m0F4WDb,"Love,effection"
Adi Keshava,https://youtu.be/VTYi8VajodY?si=srLQ4rEL4fE6BExa,"Love,effection"
Thikka,https://youtu.be/1FATGMCx5SY?si=ce72Dfx5jH75o_cG,thriller
